case,n,replicate,method,tangent_mse,oracle_excess,covariance_relative_frobenius
isotropic,16,0,projection,1.0,0.0,0.0
isotropic,16,0,empirical,1.912374520661067,0.9123745206610668,1.3573072817692386
isotropic,16,0,oas,1.0025577791443314,0.0025577791443313924,0.11066930310962136
isotropic,16,0,spiked_known_floor,1.0,1.9194776195995268e-31,9.67855990684899e-16
isotropic,16,0,oracle,1.0,0.0,0.0
isotropic,16,1,projection,1.0,0.0,0.0
isotropic,16,1,empirical,1.686403527675179,0.686403527675179,1.163128436351269
isotropic,16,1,oas,1.0000316793124795,3.1679312479458513e-05,0.07707574957180753
isotropic,16,1,spiked_known_floor,1.0,3.2686463967163315e-31,1.0503037168275622e-15
isotropic,16,1,oracle,1.0,0.0,0.0
isotropic,16,2,projection,1.0,0.0,0.0
isotropic,16,2,empirical,1.665837034321857,0.6658370343218569,1.184039883681642
isotropic,16,2,oas,1.0,0.0,0.04004261772593931
isotropic,16,2,spiked_known_floor,1.0,3.0553504019517896e-31,1.1533903573124037e-15
isotropic,16,2,oracle,1.0,0.0,0.0
isotropic,16,3,projection,1.0,0.0,0.0
isotropic,16,3,empirical,1.863109090465156,0.8631090904651558,1.2455190842974981
isotropic,16,3,oas,1.0014893264459768,0.001489326445976784,0.08276885078950412
isotropic,16,3,spiked_known_floor,1.0,2.85361997828395e-31,1.2318764489688518e-15
isotropic,16,3,oracle,1.0,0.0,0.0
isotropic,16,4,projection,1.0,0.0,0.0
isotropic,16,4,empirical,1.4506082278655323,0.4506082278655322,1.29941982404793
isotropic,16,4,oas,1.0,0.0,0.10425265771678305
isotropic,16,4,spiked_known_floor,1.0,3.4778875693685915e-31,1.2291307717516782e-15
isotropic,16,4,oracle,1.0,0.0,0.0
isotropic,16,5,projection,1.0,0.0,0.0
isotropic,16,5,empirical,1.5780179867269193,0.5780179867269194,1.216411137104911
isotropic,16,5,oas,1.0012229573702456,0.001222957370245654,0.0873898363842078
isotropic,16,5,spiked_known_floor,1.0,2.7749150806457628e-31,1.111180019228623e-15
isotropic,16,5,oracle,1.0,0.0,0.0
isotropic,16,6,projection,1.0,0.0,0.0
isotropic,16,6,empirical,1.8336556576196348,0.833655657619635,1.1870368107183342
isotropic,16,6,oas,1.0,0.0,0.015639468967279524
isotropic,16,6,spiked_known_floor,1.0,2.292787743936061e-31,1.064498842992219e-15
isotropic,16,6,oracle,1.0,0.0,0.0
isotropic,16,7,projection,1.0,0.0,0.0
isotropic,16,7,empirical,1.8843215473733024,0.8843215473733022,1.2079636330319259
isotropic,16,7,oas,1.0,0.0,0.005205215149247878
isotropic,16,7,spiked_known_floor,1.0,3.455337390379829e-31,1.188375073904176e-15
isotropic,16,7,oracle,1.0,0.0,0.0
isotropic,16,8,projection,1.0,0.0,0.0
isotropic,16,8,empirical,1.4948322240148408,0.49483222401484084,1.1805913231789797
isotropic,16,8,oas,1.0002375953637488,0.00023759536374872605,0.0770902529374758
isotropic,16,8,spiked_known_floor,1.0,4.513840505002088e-31,1.2821225204389007e-15
isotropic,16,8,oracle,1.0,0.0,0.0
